name,code,sector,marketCapital,closePrice,peRatio,price
Archidply Industries Ltd,ARCHIDPLY,Wood Products,62.276775,31.35,27.67856667,0
Century Plyboards (India) Ltd,CENTURYPLY,Wood Products,11999.56319,540.1,62.67399556,0
Greenpanel Industries Ltd,GREENPANEL,Wood Products,4729.125488,385.65,68.70732948,0
Greenply Industries Ltd,GREENPLY,Wood Products,2575.788432,210.05,42.28843264,0
Mangalam Timber Products Ltd,MANGTIMBER,Wood Products,31.248217,17.05,-1.662139202,0
Milton Industries Ltd,MILTON,Wood Products,27.192,16,10.26113208,0
Uniply Industries Ltd,UNIPLY,Wood Products,67.05896,4,-2.35873936,0
Western India Plywoods Ltd,WIPL,Wood Products,49.1416986,57.9,-182.0062911,0
Archidply Decor Ltd,ADL,Wood Products,25.493425,45.8,-36.41917857,0
Kaya Ltd,KAYA,Wellness Services,654.5762796,501.05,-17.22115968,0
Talwalkars Healthclubs Ltd,TALWGYM,Wellness Services,3.25550988,1.05,0.046368179,0
Talwalkars Better Value Fitness Ltd,TALWALKARS,Wellness Services,4.49571137,1.45,0.288556571,0
Antony Waste Handling Cell Ltd,AWHCL,Wellness Services,818.489264,289.35,18.17249698,0
Felix Industries Ltd,FELIX,Water Management,15.32993,30.1,-25.13103279,0
Indian Hume Pipe Company Ltd,INDIANHUME,Water Management,915.651513,189,21.7908499,0
Va Tech Wabag Ltd,WABAG,Water Management,1984.496557,319.1,18.02285494,0
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,107275.5885,3707.25,22.08670924,0
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,53087.31688,2657.1,18.19460779,0
Maharashtra Scooters Ltd,MAHSCOOTER,Two Wheelers,5044.284201,4413.75,571.9143085,0
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers,31476.89674,662.55,52.96822391,0
Ashok Leyland Ltd,ASHOKLEY,Trucks & Buses,41801.90841,142.4,-252.9922436,0
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,67934.3505,2484.8,50.43793517,0
SML Isuzu Ltd,SMLISUZU,Trucks & Buses,1016.198982,702.2,-7.612547622,0
Escorts Ltd,ESCORTS,Tractors,20725.7202,1569.4,23.7827556,0
Swaraj Engines Ltd,SWARAJENG,Tractors,2089.280845,1720.9,22.57949686,0
VST Tillers Tractors Ltd,VSTTILLERS,Tractors,2498.551498,2892,27.52618153,0
Cox & Kings Ltd,COX&KINGS,Tour & Travel Services,28.2503824,1.6,-0.025069557,0
Delphi World Money Ltd,DELPHIFX,Tour & Travel Services,666.059856,598.55,16.32899867,0
India Tourism Development Corp Ltd,ITDC,Tour & Travel Services,3214.208265,374.75,-81.24894502,0
Thomas Cook (India) Ltd,THOMASCOOK,Tour & Travel Services,2608.724734,70.2,-10.26612386,0
Easy Trip Planners Ltd,EASEMYTRIP,Tour & Travel Services,5200.292925,478.65,85.2227618,0
Apollo Tyres Limited,APOLLOTYRE,Tires & Rubber,13521.29914,212.9,38.61022028,0
Balkrishna Industries Ltd,BALKRISIND,Tires & Rubber,47557.96191,2460.1,40.38789832,0
Birla Tyres Ltd,BIRLATYRE,Tires & Rubber,342.92914,24.05,-1.192257901,0
CEAT Ltd,CEATLTD,Tires & Rubber,5044.935474,1247.2,11.67701017,0
ELGI Rubber Co Ltd,ELGIRUBCO,Tires & Rubber,184.93475,36.95,171.2358796,0
GRP Ltd,GRPLTD,Tires & Rubber,128.019968,960.15,76.65866347,0
Innovative Tyres & Tubes Ltd,INNOVATIVE,Tires & Rubber,17.27189856,9.6,-1.953834679,0
JK Tyre & Industries Ltd,JKTYRE,Tires & Rubber,3534.644282,143.55,11.06859235,0
Kesoram Industries Ltd,KESORAMIND,Tires & Rubber,1846.505486,63.45,13.17897,0
Modi Rubber Ltd,MODIRUBBER,Tires & Rubber,194.9405416,77.85,42.28645154,0
MRF Ltd,MRF,Tires & Rubber,32787.49192,77308.15,25.67419849,0
PTL Enterprises Ltd,PTL,Tires & Rubber,322.99988,48.8,4.612307297,0
